"id","date","tweet","insult_1","target_1","insult_2","target_2","insult_3","target_3","insult_4","target_4","insult_5","target_5","insult_6","target_6"
"1910",2017-11-03,"The real story on Collusion is in Donna B's new book. Crooked Hillary bought the DNC & then stole the Democratic Primary from Crazy Bernie!","Crazy Bernie!","bernie-sanders","Crooked","hillary-clinton","bought the DNC & then stole the Democratic Primary from Crazy Bernie!","hillary-clinton",NA,NA,NA,NA,NA,NA
"1911",2017-11-03,"The rigged Dem Primary, one of the biggest political stories in years, got ZERO coverage on Fake News Network TV last night. Disgraceful!","rigged","democratic-primaries","Fake News","the-media","Disgraceful!","the-media",NA,NA,NA,NA,NA,NA
"1912",2017-11-06,"...Some of those they are harshly treating have been ‘milking' their country for years!","have been ‘milking' their country for years!","arrested-saudis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1913",2017-11-06,"The state of Virginia economy, under Democrat rule, has been terrible. If you vote Ed Gillespie tomorrow, it will come roaring back!","terrible","virginia-economy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1914",2017-11-07,"...and has been horrible on Virginia economy. Vote @EdWGillespie today!","has been horrible on Virginia economy","ralph-northam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1915",2017-11-07,"Ralph Northam will allow crime to be rampant in Virginia. He's weak on crime, weak on our GREAT VETS, Anti-Second Amendment....","will allow crime to be rampant in Virginia","ralph-northam","weak on crime","ralph-northam","weak on our GREAT VETS","ralph-northam","Anti-Second Amendment","ralph-northam",NA,NA,NA,NA
"1916",2017-11-09,"I don't blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on trade leading up to a point where the U.S. is losing $100's of billions. How can you blame China for taking advantage of people that had no clue? I would've done same!","incompetence","past-presidential-administrations","had no clue","past-presidential-administrations",NA,NA,NA,NA,NA,NA,NA,NA
"1917",2017-11-12,"Does the Fake News Media remember when Crooked Hillary Clinton, as Secretary of State, was begging Russia to be our friend with the misspelled reset button? Obama tried also, but he had zero chemistry with Putin.","Crooked","hillary-clinton","had zero chemistry with Putin","barack-obama","Fake News","the-media",NA,NA,NA,NA,NA,NA
"1918",2017-11-12,"When will all the haters and fools out there realize that having a good relationship with Russia is a good thing, not a bad thing. There always playing politics - bad for our country. I want to solve North Korea, Syria, Ukraine, terrorism, and Russia can greatly help!","always playing politics","losers-haters","bad for our country","losers-haters",NA,NA,NA,NA,NA,NA,NA,NA
"1919",2017-11-12,"Why would Kim Jong-un insult me by calling me ""old,"" when I would NEVER call him ""short and fat?"" Oh well, I try so hard to be his friend - and maybe someday that will happen!","I would NEVER call him 'short and fat'","kim-jong-un",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
